After training 3.38 hours, episode: 11400.0, frames: 2.84M, average reward: 1.86
After training 3.41 hours, episode: 11500.0, frames: 2.87M, average reward: 1.01
After training 3.44 hours, episode: 11600.0, frames: 2.89M, average reward: 1.70
After training 3.47 hours, episode: 11700.0, frames: 2.91M, average reward: 2.20
After training 3.51 hours, episode: 11800.0, frames: 2.94M, average reward: 1.69
After training 3.54 hours, episode: 11900.0, frames: 2.96M, average reward: 3.09
After training 3.57 hours, episode: 12000.0, frames: 2.99M, average reward: 1.77
After training 3.60 hours, episode: 12100.0, frames: 3.02M, average reward: 3.80
After training 3.64 hours, episode: 12200.0, frames: 3.05M, average reward: 3.58
After training 3.66 hours, episode: 12300.0, frames: 3.07M, average reward: 1.41
After training 3.70 hours, episode: 12400.0, frames: 3.09M, average reward: 3.35
After training 3.72 hours, episode: 12500.0, frames: 3.12M, average reward: 1.46
After training 3.75 hours, episode: 12600.0, frames: 3.15M, average reward: 2.18
After training 3.78 hours, episode: 12700.0, frames: 3.18M, average reward: 3.86
After training 3.81 hours, episode: 12800.0, frames: 3.20M, average reward: 3.46
After training 3.84 hours, episode: 12900.0, frames: 3.23M, average reward: 1.06
After training 3.87 hours, episode: 13000.0, frames: 3.25M, average reward: 2.15
After training 3.90 hours, episode: 13100.0, frames: 3.28M, average reward: 3.89
After training 3.93 hours, episode: 13200.0, frames: 3.30M, average reward: 1.82
After training 3.96 hours, episode: 13300.0, frames: 3.33M, average reward: 2.71
After training 3.99 hours, episode: 13400.0, frames: 3.36M, average reward: 3.04
After training 4.02 hours, episode: 13500.0, frames: 3.38M, average reward: 2.29
After training 4.05 hours, episode: 13600.0, frames: 3.41M, average reward: 3.61
After training 4.08 hours, episode: 13700.0, frames: 3.44M, average reward: 3.66
After training 4.11 hours, episode: 13800.0, frames: 3.46M, average reward: 1.71
After training 4.14 hours, episode: 13900.0, frames: 3.49M, average reward: 2.10
After training 4.17 hours, episode: 14000.0, frames: 3.51M, average reward: 3.67
After training 4.20 hours, episode: 14100.0, frames: 3.54M, average reward: 1.06
After training 4.24 hours, episode: 14200.0, frames: 3.57M, average reward: 3.90
After training 4.27 hours, episode: 14300.0, frames: 3.59M, average reward: 1.87
